image_path,face_id,emotion,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
./outputs\2025-05-21_11-46-27\processed_images\000001.jpg,1,Sadness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000001.jpg,2,Sadness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000001.jpg,3,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000002.jpg,1,Disgust,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000003.jpg,1,Fear,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000003.jpg,2,Happiness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000003.jpg,3,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000003.jpg,4,Surprise,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000004.jpg,1,Anger,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000004.jpg,2,Sadness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000004.jpg,3,Sadness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000004.jpg,4,Anger,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000005.jpg,1,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000005.jpg,2,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000006.jpg,1,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000006.jpg,2,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000006.jpg,3,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000007.jpg,1,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000007.jpg,2,Contempt,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000007.jpg,3,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000007.jpg,4,Contempt,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000008.jpg,1,Fear,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000008.jpg,2,Neutral,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000009.jpg,1,Sadness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000009.jpg,2,Sadness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000009.jpg,3,Sadness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000010.jpg,1,Sadness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000011.jpg,1,Happiness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000011.jpg,2,Happiness,0.0000,0,0,0,0
./outputs\2025-05-21_11-46-27\processed_images\000011.jpg,3,Contempt,0.0000,0,0,0,0
